"# Program:featureCounts v2.0.6; Command:""featureCounts"" ""-a"" ""../../../annotation/ERCC92.gtf"" ""-o"" ""../../../outputs/FC_readdepth"" ""-F"" ""GTF"" ""-L"" ""1M_drna_ercc.fastq.bam"" ""250k_drna_ercc.fastq.bam"" ""2M_drna_ercc.fastq.bam"" ""500k_drna_ercc.fastq.bam"" ""5M_drna_ercc.fastq.bam"" "								
Geneid	Length	1M	250k	2M	500k	5M	GC	conc
ERCC-00130	1059	218172	54742	436776	109252	1091410	45.89235127	30000
ERCC-00131	771	627	169	1275	310	3212	47.53246753	117.1875
ERCC-00134	274	11	2	21	6	54	31.38686131	1.83105469
ERCC-00136	1033	13847	3439	28012	6937	70008	41.52952565	1875
ERCC-00137	537	11	3	19	8	48	49.53445065	0.91552734
ERCC-00138	1024	2	2	5	2	10	32.91015625	0.11444092
ERCC-00142	493	4	0	6	2	13	49.89858012	0.22888184
ERCC-00143	784	27	12	47	20	125	48.59693878	3.66210938
ERCC-00144	538	324	78	628	166	1522	45.53903346	29.296875
ERCC-00145	1042	7032	1780	13915	3519	34697	44.3378119	937.5
ERCC-00147	1023	9	0	17	3	41	36.46138807	0.91552734
ERCC-00148	494	142	48	293	94	748	48.58299595	14.6484375
ERCC-00150	743	23	4	56	8	134	46.9717362	3.66210938
ERCC-00154	537	73	21	146	36	361	50.09310987	7.32421875
ERCC-00156	494	5	0	8	2	35	48.98785425	0.45776367
ERCC-00157	1019	76	19	155	35	415	50.14720314	7.32421875
ERCC-00158	1027	8	1	16	3	33	34.27458617	0.45776367
ERCC-00160	743	147	43	324	82	817	45.62584118	7.32421875
ERCC-00162	523	703	176	1414	341	3546	36.1376673	58.59375
ERCC-00163	543	174	42	326	86	732	46.59300184	14.6484375
ERCC-00164	1022	6	0	11	2	36	37.08414873	0.45776367
ERCC-00165	872	453	133	963	239	2417	50	58.59375
ERCC-00168	1024	10	1	22	5	46	34.1796875	0.45776367
ERCC-00170	1023	377	88	761	182	1904	33.72434018	14.6484375
ERCC-00171	505	29353	7434	58642	14727	146577	47.72277228	3750
